"판매매체별(1)","시점",컴퓨터 및 주변기기,가전·전자·통신기기
"인터넷쇼핑","2017.01",288391,307496
"인터넷쇼핑","2017.02",329143,328088
"인터넷쇼핑","2017.03",322089,349185
"인터넷쇼핑","2017.04",251604,366894
"인터넷쇼핑","2017.05",241871,417717
"인터넷쇼핑","2017.06",262908,366554
"인터넷쇼핑","2017.07",252949,432760
"인터넷쇼핑","2017.08",280831,359011
"인터넷쇼핑","2017.09",270647,343507
"인터넷쇼핑","2017.10",235350,333413
"인터넷쇼핑","2017.11",302907,462529
"인터넷쇼핑","2017.12",320177,387969
"인터넷쇼핑","2018.01",324233,398999
"인터넷쇼핑","2018.02",275786,351716
"인터넷쇼핑","2018.03",310948,435766
"인터넷쇼핑","2018.04",243815,420663
"인터넷쇼핑","2018.05",237559,447810
"인터넷쇼핑","2018.06",220404,424143
"인터넷쇼핑","2018.07",239475,511557
"인터넷쇼핑","2018.08",249200,424778
"인터넷쇼핑","2018.09",226280,340868
"인터넷쇼핑","2018.10",254118,429553
"인터넷쇼핑","2018.11",275284,517411
"인터넷쇼핑","2018.12",294467,470859
"인터넷쇼핑","2019.01",329496,451529
"인터넷쇼핑","2019.02",305306,403124
"인터넷쇼핑","2019.03",313340,568865
"인터넷쇼핑","2019.04",279362,523731
"인터넷쇼핑","2019.05",263783,577082
"인터넷쇼핑","2019.06",240539,488946
"인터넷쇼핑","2019.07",271299,522133
"인터넷쇼핑","2019.08",269744,511230
"인터넷쇼핑","2019.09",261053,462355
"인터넷쇼핑","2019.10",274936,525905
"인터넷쇼핑","2019.11",306368,568012
"인터넷쇼핑","2019.12",339917,518944
"인터넷쇼핑","2020.01",332810,400922
"인터넷쇼핑","2020.02",358997,494994
"인터넷쇼핑","2020.03",401374,518520
"인터넷쇼핑","2020.04",388215,507840
"인터넷쇼핑","2020.05",323924,588332
"인터넷쇼핑","2020.06",328080,553380
"인터넷쇼핑","2020.07",342726,502863
"인터넷쇼핑","2020.08",340705,548239
"인터넷쇼핑","2020.09",379361,462687
"인터넷쇼핑","2020.10",339603,547418
"인터넷쇼핑","2020.11",394626,663471
"인터넷쇼핑","2020.12",499998,611410
"인터넷쇼핑","2021.01",439730,610054
"인터넷쇼핑","2021.02",413960,512864
"인터넷쇼핑","2021.03",448924,612790
"인터넷쇼핑","2021.04",385886,546939
"인터넷쇼핑","2021.05",358402,575594
"인터넷쇼핑","2021.06",358087,563485
"인터넷쇼핑","2021.07",398976,658089
"인터넷쇼핑","2021.08",405435,576436
"인터넷쇼핑","2021.09",361370,514785
"인터넷쇼핑","2021.10",389970,661197
"인터넷쇼핑","2021.11",440303,645257
"인터넷쇼핑","2021.12",504938,637081
"인터넷쇼핑","2022.01",426178,539706
"인터넷쇼핑","2022.02",442616,599163
"인터넷쇼핑","2022.03",436962,603523
"인터넷쇼핑","2022.04",361297,556310
"인터넷쇼핑","2022.05",360368,579325
"인터넷쇼핑","2022.06",329328,548771
"인터넷쇼핑","2022.07",353768,567002
"인터넷쇼핑","2022.08",357832,587503
"인터넷쇼핑","2022.09",337087,459133
"인터넷쇼핑","2022.10",344168,653866
"인터넷쇼핑","2022.11",397312,587368
"인터넷쇼핑","2022.12",412450,572088
"인터넷쇼핑","2023.01",375940,506317
"인터넷쇼핑","2023.02",423513,551798
"인터넷쇼핑","2023.03",437404,501534
"인터넷쇼핑","2023.04",347754,478667
"인터넷쇼핑","2023.05",341733,551758
"인터넷쇼핑","2023.06",328413,529632
"인터넷쇼핑","2023.07",338837,542166
"인터넷쇼핑","2023.08",336170,574268
"인터넷쇼핑","2023.09",318355,451222
"인터넷쇼핑","2023.10",326080,658521
"인터넷쇼핑","2023.11",373633,617863
"인터넷쇼핑","2023.12",378497,497098
"인터넷쇼핑","2024.01",439597,560217
"인터넷쇼핑","2024.02",402304,467828
"인터넷쇼핑","2024.03",399974,454982
"인터넷쇼핑","2024.04",344117,496135
"인터넷쇼핑","2024.05",332596,529923
"인터넷쇼핑","2024.06",359011,514422
"인터넷쇼핑","2024.07",315227,535828
"인터넷쇼핑","2024.08",267523,410769
"인터넷쇼핑","2024.09",259703,470987
"인터넷쇼핑","2024.10",269950,476074
"인터넷쇼핑","2024.11 p)",324308,496951
"인터넷쇼핑","2024.12 p)",339852,420100
"모바일쇼핑","2017.01",133993,294626
"모바일쇼핑","2017.02",146200,298786
"모바일쇼핑","2017.03",151262,318541
"모바일쇼핑","2017.04",116675,349814
"모바일쇼핑","2017.05",109053,443900
"모바일쇼핑","2017.06",113811,385920
"모바일쇼핑","2017.07",128025,494107
"모바일쇼핑","2017.08",135562,399471
"모바일쇼핑","2017.09",128865,363151
"모바일쇼핑","2017.10",118174,394994
"모바일쇼핑","2017.11",157832,485981
"모바일쇼핑","2017.12",155301,427298
"모바일쇼핑","2018.01",187441,459257
"모바일쇼핑","2018.02",177621,418685
"모바일쇼핑","2018.03",193113,510861
"모바일쇼핑","2018.04",165240,524596
"모바일쇼핑","2018.05",166676,578323
"모바일쇼핑","2018.06",151440,539531
"모바일쇼핑","2018.07",164775,676637
"모바일쇼핑","2018.08",169705,535814
"모바일쇼핑","2018.09",155899,451538
"모바일쇼핑","2018.10",165626,559968
"모바일쇼핑","2018.11",192882,664944
"모바일쇼핑","2018.12",206895,573086
"모바일쇼핑","2019.01",232016,611551
"모바일쇼핑","2019.02",237163,578935
"모바일쇼핑","2019.03",219156,756020
"모바일쇼핑","2019.04",189807,610496
"모바일쇼핑","2019.05",176325,719082
"모바일쇼핑","2019.06",148657,688858
"모바일쇼핑","2019.07",171823,708286
"모바일쇼핑","2019.08",178221,687235
"모바일쇼핑","2019.09",174623,634009
"모바일쇼핑","2019.10",170182,674287
"모바일쇼핑","2019.11",221639,789341
"모바일쇼핑","2019.12",214960,694448
"모바일쇼핑","2020.01",273459,662108
"모바일쇼핑","2020.02",315829,755756
"모바일쇼핑","2020.03",357883,780014
"모바일쇼핑","2020.04",331746,738910
"모바일쇼핑","2020.05",290304,927906
"모바일쇼핑","2020.06",256409,905941
"모바일쇼핑","2020.07",284750,816872
"모바일쇼핑","2020.08",314597,987774
"모바일쇼핑","2020.09",332423,849047
"모바일쇼핑","2020.10",276244,987672
"모바일쇼핑","2020.11",341688,1161320
"모바일쇼핑","2020.12",415380,1105244
"모바일쇼핑","2021.01",446647,1137541
"모바일쇼핑","2021.02",435721,981223
"모바일쇼핑","2021.03",422166,1052288
"모바일쇼핑","2021.04",346865,976497
"모바일쇼핑","2021.05",370299,1118449
"모바일쇼핑","2021.06",305492,1072052
"모바일쇼핑","2021.07",352086,1256457
"모바일쇼핑","2021.08",368794,1088677
"모바일쇼핑","2021.09",374921,1056165
"모바일쇼핑","2021.10",339560,1363174
"모바일쇼핑","2021.11",392196,1354614
"모바일쇼핑","2021.12",456349,1122314
"모바일쇼핑","2022.01",430931,1107412
"모바일쇼핑","2022.02",501035,1202958
"모바일쇼핑","2022.03",458719,1058191
"모바일쇼핑","2022.04",355706,998166
"모바일쇼핑","2022.05",373986,1137206
"모바일쇼핑","2022.06",308813,1135013
"모바일쇼핑","2022.07",345344,1207117
"모바일쇼핑","2022.08",368174,1203957
"모바일쇼핑","2022.09",347713,1160551
"모바일쇼핑","2022.10",327593,1420255
"모바일쇼핑","2022.11",403671,1275010
"모바일쇼핑","2022.12",350329,1175938
"모바일쇼핑","2023.01",410682,1166020
"모바일쇼핑","2023.02",465802,1207891
"모바일쇼핑","2023.03",428129,1083240
"모바일쇼핑","2023.04",330998,1029660
"모바일쇼핑","2023.05",370133,1250125
"모바일쇼핑","2023.06",313273,1186718
"모바일쇼핑","2023.07",337786,1264336
"모바일쇼핑","2023.08",341010,1277518
"모바일쇼핑","2023.09",327212,1047231
"모바일쇼핑","2023.10",311758,1526898
"모바일쇼핑","2023.11",384270,1507507
"모바일쇼핑","2023.12",361998,1270534
"모바일쇼핑","2024.01",449009,1370322
"모바일쇼핑","2024.02",440779,1240926
"모바일쇼핑","2024.03",432423,1185981
"모바일쇼핑","2024.04",346251,1174102
"모바일쇼핑","2024.05",361813,1259795
"모바일쇼핑","2024.06",314339,1302222
"모바일쇼핑","2024.07",312830,1429925
"모바일쇼핑","2024.08",320119,1241866
"모바일쇼핑","2024.09",316276,1393574
"모바일쇼핑","2024.10",299854,1309005
"모바일쇼핑","2024.11 p)",404879,1400869
"모바일쇼핑","2024.12 p)",349240,1259257
